ENTIDAD,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO,SECCION,COLONIA,CP
19,24,49,SANTIAGO,2086,ALDABAR,67300
19,24,49,SANTIAGO,2086,ARTURO CAVAZOS(LOS NISPEROS),67318
19,24,49,SANTIAGO,2086,BOCA PALMA,67317
19,24,49,SANTIAGO,2086,CAMPESTRE REAL,67310
19,24,49,SANTIAGO,2086,CENTRO DE SANTIAGO,67310
19,24,49,SANTIAGO,2086,DE HUAJUQUITO,67300
19,24,49,SANTIAGO,2086,LAS CRISTALINAS,67317
19,24,49,SANTIAGO,2086,LOS CAVAZOS,67300
19,24,49,SANTIAGO,2086,MISION DE STA ROSALIA,67310
19,24,49,SANTIAGO,2086,PORTALES DE SANTIAGO,67310
19,24,49,SANTIAGO,2086,PUNTA LA BOCA,67317
19,24,49,SANTIAGO,2086,VALLE DE SANTA ROSALIA,67310
19,24,49,SANTIAGO,2086,VALLE DE SANTIAGO,67315
19,24,49,SANTIAGO,2087,CENTRO DE SANTIAGO,67310
19,24,49,SANTIAGO,2087,LA RESERVA PRIVADA RESIDENCIAL,67310
19,24,49,SANTIAGO,2087,SAN JAVIER,67322
19,24,49,SANTIAGO,2087,VILLA DEL ROSARIO,67310
19,24,49,SANTIAGO,2088,COMUNIDAD SAN FRANCISCO,67312
19,24,49,SANTIAGO,2088,DEL MAESTRO,67312
19,24,49,SANTIAGO,2088,JARDINES DE SANTIAGO,67313
19,24,49,SANTIAGO,2088,PRIVADA LOS PESCADORES,67322
19,24,49,SANTIAGO,2088,SAN JAVIER,67322
19,24,49,SANTIAGO,2088,SAN VICENTE,67312
19,24,49,SANTIAGO,2088,VALLE DE SAN FRANCISCO,67322
19,24,49,SANTIAGO,2089,BALCONES DEL CERCADO,67322
19,24,49,SANTIAGO,2089,DEL PESCADOR,67322
19,24,49,SANTIAGO,2089,LOMAS DEL CERCADO,67322
19,24,49,SANTIAGO,2089,MARIANO ESCOBEDO,67322
19,24,49,SANTIAGO,2089,PRIVADA LOS PESCADORES,67322
19,24,49,SANTIAGO,2089,SAN JAVIER,67322
19,24,49,SANTIAGO,2089,SAN VICENTE,67312
19,24,49,SANTIAGO,2090,EL CERCADO,67320
19,24,49,SANTIAGO,2091,EL CERCADO,67320
19,24,49,SANTIAGO,2091,JARDINES DE LA BOCA,67323
19,24,49,SANTIAGO,2091,QUINCE DE MAYO,67320
19,24,49,SANTIAGO,2091,VALLE ALTO,67329
19,24,49,SANTIAGO,2092,FRACC COLINAS DE SANTIAGO,67322
19,24,49,SANTIAGO,2092,POBLADO LA LOMITA - EL TERRERO,67308
19,24,49,SANTIAGO,2092,RESIDENCIAL AL VIENTO,67320
19,24,49,SANTIAGO,2093,CIENEGUILLA,67308
19,24,49,SANTIAGO,2093,COLA DE CABALLO,67300
19,24,49,SANTIAGO,2093,HACIENDA SANTIAGO,67320
19,24,49,SANTIAGO,2093,MELCHOR OCAMPO,67329
19,24,49,SANTIAGO,2094,CIENEGUILLA,67308
19,24,49,SANTIAGO,2095,ANTONIO VILLALON,67323
19,24,49,SANTIAGO,2095,BOSQUES DE SAN JOSE,67307
19,24,49,SANTIAGO,2095,CONGREGACION SAN JOSE NORTE,67328
19,24,49,SANTIAGO,2095,CONGREGACION SAN JOSE SUR,67328
19,24,49,SANTIAGO,2095,JARDINES DE LA BOCA,67323
19,24,49,SANTIAGO,2095,LOS AGUIRRE,67320
19,24,49,SANTIAGO,2095,MELCHOR OCAMPO,67329
19,24,49,SANTIAGO,2096,BLAS CHUMACERO,67329
19,24,49,SANTIAGO,2096,CONGREGACION SAN JOSE SUR,67328
19,24,49,SANTIAGO,2096,CORRAL DE PALOS,67328
19,24,49,SANTIAGO,2096,LOS SILVA,67323
19,24,49,SANTIAGO,2096,SAN JOSE DE ARRIBA,67329
19,24,49,SANTIAGO,2097,BOSQUES DE SAN PEDRO,67328
19,24,49,SANTIAGO,2097,CONGREGACION SAN JOSE SUR,67328
19,24,49,SANTIAGO,2097,EBANO,67320
19,24,49,SANTIAGO,2097,LA ROSITA - RIO ESCONDIDO,67329
19,24,49,SANTIAGO,2097,LOS ALAMOS,67327
19,24,49,SANTIAGO,2097,LOS ENCINOS,67324
19,24,49,SANTIAGO,2097,LOS MALEAÐOS,67327
19,24,49,SANTIAGO,2097,LOS SILVA,67323
19,24,49,SANTIAGO,2097,RAUL CABALLERO ESCAMILLA,67328
19,24,49,SANTIAGO,2097,RINCON DE LOS ENCINOS,67329
19,24,49,SANTIAGO,2097,RODOLFO GZA MADERO,67324
19,24,49,SANTIAGO,2097,SAN JOSE DE ARRIBA,67329
19,24,49,SANTIAGO,2097,SAN PEDRO,67327
19,24,49,SANTIAGO,2097,SAN PEDRO,67328
19,24,49,SANTIAGO,2097,SANTA CLARA,67328
19,24,49,SANTIAGO,2098,CONGREGACION SAN PEDRO,67327
19,24,49,SANTIAGO,2098,CORRAL DE PALOS,67328
19,24,49,SANTIAGO,2098,FIDENCIO CAVAZOS,67328
19,24,49,SANTIAGO,2098,FRACCIONAMIENTO CUMBRES DE SANTIAGO,67328
19,24,49,SANTIAGO,2098,LOMA DEL REY,67324
19,24,49,SANTIAGO,2098,LOS ALAMOS,67327
19,24,49,SANTIAGO,2098,LOS MALEAÐOS,67327
19,24,49,SANTIAGO,2098,SANTA CLARA,67328
19,24,49,SANTIAGO,2098,SANTA TAIS,67328
19,24,49,SANTIAGO,2098,VALLE DORADO,67300
19,24,49,SANTIAGO,2099,ALAMO SUR,67327
19,24,49,SANTIAGO,2099,BOSQUES DE LAS LOMAS,67324
19,24,49,SANTIAGO,2099,CAMPESTRE STA CLARA,67324
19,24,49,SANTIAGO,2099,CONGREGACION SAN PEDRO,67327
19,24,49,SANTIAGO,2099,LA NUEVA ESPERANZA,67300
19,24,49,SANTIAGO,2099,LAS MARGARITAS,67325
19,24,49,SANTIAGO,2099,PEDREGAL DE SANTIAGO,67327
19,24,49,SANTIAGO,2099,PIEDRA DE FIERRO,67327
19,24,49,SANTIAGO,2099,PRIVADAS LAS LOMAS,67324
19,24,49,SANTIAGO,2100,LAS MARGARITAS,67325
19,24,49,SANTIAGO,2100,PIEDRA DE FIERRO,67327
19,24,49,SANTIAGO,2101,CAMPESTRE EL BARRO,67300
19,24,49,SANTIAGO,2101,EL BARRO,67303
19,24,49,SANTIAGO,2101,EL CERRITO,67303
19,24,49,SANTIAGO,2101,EL FAISAN,67302
19,24,49,SANTIAGO,2101,EL YERBANIZ,67302
19,24,49,SANTIAGO,2101,FRACC RDCIAL BOSQUES DE LAS MISIONES SECTOR ENCINOS,67302
19,24,49,SANTIAGO,2101,FRACC RESIDENCIAL LOS OLIVOS,67302
19,24,49,SANTIAGO,2101,LA NORIA,67302
19,24,49,SANTIAGO,2101,LAS MARGARITAS,67303
19,24,49,SANTIAGO,2101,LAS MISIONES,67302
19,24,49,SANTIAGO,2101,LAS PALMAS,67300
19,24,49,SANTIAGO,2101,MORETTA,67303
19,24,49,SANTIAGO,2101,PRIVADA LOS FRANCISCANOS,67302
19,24,49,SANTIAGO,2101,ZITOON YERBANIZ,67300
19,24,49,SANTIAGO,2102,EL RANCHITO,67303
19,24,49,SANTIAGO,2102,EQUINOCCIO PRIVADAS,67303
19,24,49,SANTIAGO,2102,LAS PALMAS,67300
19,24,49,SANTIAGO,2102,LOS QUERUBINES,67300
19,24,49,SANTIAGO,2103,BOSQUE RESIDENCIAL,67340
19,24,49,SANTIAGO,2103,EL BARRIAL,67303
19,24,49,SANTIAGO,2103,EL RANCHITO,67303
19,24,49,SANTIAGO,2103,LOS HENARES,67300
19,24,49,SANTIAGO,2103,PEDREGAL DEL HUAJUCO,67300
19,24,49,SANTIAGO,2103,QUINTA SAN JORGE,67314
19,24,49,SANTIAGO,2103,SAN ANDRES,67303
19,24,49,SANTIAGO,2103,TESELAS,67300
19,24,49,SANTIAGO,2104,4 CAMINOS,67310
19,24,49,SANTIAGO,2104,AMORADA,67300
19,24,49,SANTIAGO,2104,ARTURO MARROQUIN,67300
19,24,49,SANTIAGO,2104,CONDADO DE ASTURIAS,67315
19,24,49,SANTIAGO,2104,EL YERBANIZ,67302
19,24,49,SANTIAGO,2104,LOS CANTAROS,67310
19,24,49,SANTIAGO,2104,LOS RODRIGUEZ,67300
19,24,49,SANTIAGO,2104,SAN JUAN,67300
19,24,49,SANTIAGO,2104,SANTA MONICA,67310
19,24,49,SANTIAGO,2104,STA MARIA DESARROLLO CAMPESTRE,67310
19,24,49,SANTIAGO,2104,VALLES DE SANTIAGO,67318
19,24,49,SANTIAGO,2104,VIENTO LIBRE,67315
19,24,49,SANTIAGO,2105,CAMPESTRE SIERRA VISTA,67304
19,24,49,SANTIAGO,2105,CONDADO DE ASTURIAS,67315
19,24,49,SANTIAGO,2105,DE HUAJUQUITO,67300
19,24,49,SANTIAGO,2105,HECTOR CABALLERO,67316
19,24,49,SANTIAGO,2105,LA BOCA,67317
19,24,49,SANTIAGO,2105,LAS CORTINAS,67318
19,24,49,SANTIAGO,2105,LAS CRISTALINAS,67317
19,24,49,SANTIAGO,2105,LAS HUERTAS,67316
19,24,49,SANTIAGO,2105,LOMA DE HUAJUQUITO,67300
19,24,49,SANTIAGO,2105,LOS CAVAZOS,67300
19,24,49,SANTIAGO,2105,PUNTA CRISTALINAS,67317
19,24,49,SANTIAGO,2105,QUINTA SAN JORGE,67314
19,24,49,SANTIAGO,2105,QUINTAS DEL LAGO,67314
19,24,49,SANTIAGO,2106,LA CIENEGA (LA CIENEGA DE GONZALEZ),67330
19,24,49,SANTIAGO,2106,LAS MARGARITAS,67325
19,24,49,SANTIAGO,2107,SAN JUAN BAUTISTA,67340
19,24,49,SANTIAGO,2108,SAN JOSE DE LAS BOQUILLAS,67336
19,24,49,SANTIAGO,2109,LAGUNA DE SANCHEZ,67338
19,24,49,SANTIAGO,2109,POTRERO REDONDO,67300
19,24,49,SANTIAGO,2109,SAN ISIDRO,67338
19,24,49,SANTIAGO,2110,CAMPESTRE LAS HACIENDAS,67300
19,24,49,SANTIAGO,2110,CAMPESTRE SIERRA VISTA,67304
19,24,49,SANTIAGO,2110,LA BOCA,67304
19,24,49,SANTIAGO,2110,LA TINAJA,67304
19,24,49,SANTIAGO,2110,LOMAS DE LA BOCA,67300
19,24,49,SANTIAGO,2110,LOS CANELOS,67318
19,24,49,SANTIAGO,2110,PORTAL DE MISION ANTIGUA,67304
19,24,49,SANTIAGO,2110,VILLAS DE LA BOCA,67304
