ENTIDAD,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO,SECCION
19,24,49,SANTIAGO,2086
19,24,49,SANTIAGO,2087
19,24,49,SANTIAGO,2088
19,24,49,SANTIAGO,2089
19,24,49,SANTIAGO,2090
19,24,49,SANTIAGO,2091
19,24,49,SANTIAGO,2092
19,24,49,SANTIAGO,2093
19,24,49,SANTIAGO,2094
19,24,49,SANTIAGO,2095
19,24,49,SANTIAGO,2096
19,24,49,SANTIAGO,2097
19,24,49,SANTIAGO,2098
19,24,49,SANTIAGO,2099
19,24,49,SANTIAGO,2100
19,24,49,SANTIAGO,2101
19,24,49,SANTIAGO,2102
19,24,49,SANTIAGO,2103
19,24,49,SANTIAGO,2104
19,24,49,SANTIAGO,2105
19,24,49,SANTIAGO,2106
19,24,49,SANTIAGO,2107
19,24,49,SANTIAGO,2108
19,24,49,SANTIAGO,2109
19,24,49,SANTIAGO,2110
